OTU_ID	206615	taxonomy
IP8BSoli	0.0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodospirillales; __Acetobacteraceae; __Belnapia
UncTepi3	0.0	Bacteria; __Proteobacteria; __Betaproteobacteria; __Burkholderiales; __Comamonadaceae; __Tepidimonas
Unc004ii	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Christensenellaceae; __Christensenellaceae_R_7_group
Unc00re8	0.0	Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Prevotellaceae; __Prevotella
Unc018j2	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Family_XIII; __Family_XIII_AD3011_group
Unc04u81	0.0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Paracoccus
Unc58370	1.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Ruminiclostridium
Unc05fip	0.0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Run_SP154; __f; __g
Unc02ae9	0.0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pasteurellales; __Pasteurellaceae; __Frederiksenia
GV2Pseu5	6.0	Bacteria; __Actinobacteria; __Actinobacteria; __Corynebacteriales; __Corynebacteriaceae; __Corynebacterium_1
Unc02q5c	0.0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pseudomonadales; __Moraxellaceae; __Moraxella
Unc003tx	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Peptococcaceae; __uncultured
Unc03ras	0.0	Bacteria; __Chloroflexi; __JG30_KF_CM66; __o; __f; __g
UncA3699	0.0	Bacteria; __Acidobacteria; __Solibacteres; __Solibacterales; __Solibacteraceae_Subgroup_3_; __Bryobacter
Unc04mpn	0.0	Bacteria; __Actinobacteria; __Thermoleophilia; __Gaiellales; __uncultured; __g
RovLipoc	0.0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodospirillales; __Acetobacteraceae; __Rhodovarius
Unc56563	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Ruminiclostridium_5
F1NS1036	11.0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Pseudomonadales; __Pseudomonadaceae; __Pseudomonas
GVMFal10	0.0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Empedobacter
HZLDaeje	0.0	Bacteria; __Bacteroidetes; __Sphingobacteriia; __Sphingobacteriales; __Sphingobacteriaceae; __Mucilaginibacter
Unc50788	0.0	Bacteria; __Actinobacteria; __Actinobacteria; __Kineosporiales; __Kineosporiaceae; __Angustibacter
Unc03q53	0.0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Sphingomonadales; __Sphingomonadaceae; __Sphingomonas
Oh9Spec5	0.0	Bacteria; __Actinobacteria; __Actinobacteria; __Micrococcales; __Intrasporangiaceae; __Ornithinimicrobium
Unc05ssb	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Christensenellaceae; __Christensenellaceae_R_7_group
LcbFer73	0.0	Bacteria; __Firmicutes; __Bacilli; __Lactobacillales; __Lactobacillaceae; __Lactobacillus
Gt8Met66	0.0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodospirillales; __Rhodospirillaceae; __uncultured
Unc04zvf	0.0	Bacteria; __Bacteroidetes; __Bacteroidia; __Bacteroidales; __Prevotellaceae; __Prevotella_7
Unc59236	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Christensenellaceae; __Christensenellaceae_R_7_group
Unc01a7f	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Oscillibacter
Unc03p6q	0.0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Sphingomonadales; __Sphingomonadaceae; __Sphingomonas
Unc03e0y	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Faecalibacterium
UncCl489	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Ruminiclostridium_9
Unc52438	0.0	Bacteria; __Acidobacteria; __Blastocatellia; __Blastocatellales; __Blastocatellaceae_Subgroup_4_; __Aridibacter
Unc010jp	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Lachnospiraceae_FCS020_group
Unc36521	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Hungatella
UncO7791	0.0	Bacteria; __Proteobacteria; __Betaproteobacteria; __Burkholderiales; __Alcaligenaceae; __Sutterella
Unc00a9i	4.0	Bacteria; __Firmicutes; __Negativicutes; __Selenomonadales; __Veillonellaceae; __Veillonella
Unc04qfn	0.0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Chryseobacterium
Unc01w4h	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; ___Ruminococcus_gauvreauii_group
Unc95830	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Ruminococcaceae; __Ruminococcaceae_UCG_010
Unc00mrp	8.0	Bacteria; __Firmicutes; __Erysipelotrichia; __Erysipelotrichales; __Erysipelotrichaceae; __Faecalitalea
Unc03jsh	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Clostridiales_vadinBB60_group; __g
UncO6496	0.0	Bacteria; __Firmicutes; __Clostridia; __Clostridiales; __Lachnospiraceae; __Lactonifactor
