OTU_ID	MSM5LLHZ_P	taxonomy
582672	14.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Veillonellaceae', 'g__Dialister', |s__']
510295	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__', |s__']
OTU951	0.0	['Unclassified']
2017729	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__', |s__']
528752	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__', |s__']
199543	10.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__Ruminococcus', |s__']
432284	0.0	['k__Bacteria', 'p__Cyanobacteria', 'c__Chloroplast', 'o__Streptophyta', 'f__', 'g__', |s__']
564320	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__', |s__']
850905	0.0	['k__Bacteria', 'p__Bacteroidetes', 'c__Bacteroidia', 'o__Bacteroidales', 'f__[Barnesiellaceae]', 'g__', |s__']
OTU2515	0.0	['Unclassified']
OTU2516	0.0	['Unclassified']
OTU2511	0.0	['Unclassified']
329688	0.0	['k__Bacteria', 'p__Actinobacteria', 'c__Coriobacteriia', 'o__Coriobacteriales', 'f__Coriobacteriaceae', 'g__Collinsella', |s__stercoris']
4305923	0.0	['k__Bacteria', 'p__Tenericutes', 'c__Mollicutes', 'o__RF39', 'f__', 'g__', |s__']
OTU2519	0.0	['Unclassified']
791348	1.0	['k__Bacteria', 'p__Proteobacteria', 'c__Deltaproteobacteria', 'o__Desulfovibrionales', 'f__Desulfovibrionaceae', 'g__Desulfovibrio', |s__D168']
575041	7.0	['k__Bacteria', 'p__Bacteroidetes', 'c__Bacteroidia', 'o__Bacteroidales', 'f__Rikenellaceae', 'g__', |s__']
OTU3029	0.0	['Unclassified']
298247	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__Epulopiscium', |s__']
1086889	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__[Tissierellaceae]', 'g__WAL_1855D', |s__']
OTU3025	0.0	['Unclassified']
898309	0.0	['k__Bacteria', 'p__Bacteroidetes', 'c__Bacteroidia', 'o__Bacteroidales', 'f__Prevotellaceae', 'g__Prevotella', |s__nanceiensis']
302641	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__Oscillospira', |s__']
199301	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__', |s__']
OTU1758	0.0	['Unclassified']
365842	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__Faecalibacterium', |s__prausnitzii']
462764	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__Ruminococcus', |s__']
1076969	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Bacilli', 'o__Lactobacillales', 'f__Streptococcaceae', 'g__Streptococcus', |s__']
295094	0.0	['k__Bacteria', 'p__Proteobacteria', 'c__Deltaproteobacteria', 'o__Desulfovibrionales', 'f__Desulfovibrionaceae', 'g__', |s__']
321106	5.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__', |s__']
OTU1962	0.0	['Unclassified']
OTU3122	0.0	['Unclassified']
364179	16.0	['k__Bacteria', 'p__Bacteroidetes', 'c__Bacteroidia', 'o__Bacteroidales', 'f__Bacteroidaceae', 'g__Bacteroides', |s__']
363389	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Clostridiaceae', 'g__Clostridium', |s__']
3472078	0.0	['k__Bacteria', 'p__Bacteroidetes', 'c__Bacteroidia', 'o__Bacteroidales', 'f__Bacteroidaceae', 'g__Bacteroides', |s__']
572889	0.0	['k__Bacteria', 'p__Fusobacteria', 'c__Fusobacteriia', 'o__Fusobacteriales', 'f__Fusobacteriaceae', 'g__Fusobacterium', |s__']
187404	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__', |s__']
OTU2466	0.0	['Unclassified']
1099710	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Peptococcaceae', 'g__Peptococcus', |s__']
188966	0.0	['k__Bacteria', 'p__Actinobacteria', 'c__Coriobacteriia', 'o__Coriobacteriales', 'f__Coriobacteriaceae', 'g__', |s__']
341252	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__', 'g__', |s__']
176297	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__', |s__']
555945	2.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Clostridiaceae', 'g__SMB53', |s__']
4340137	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__', |s__']
258946	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__Oscillospira', |s__']
352617	0.0	['k__Bacteria', 'p__Bacteroidetes', 'c__Bacteroidia', 'o__Bacteroidales', 'f__Bacteroidaceae', 'g__Bacteroides', |s__plebeius']
272757	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__', 'g__', |s__']
291733	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__Blautia', |s__']
368490	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Bacilli', 'o__Turicibacterales', 'f__Turicibacteraceae', 'g__Turicibacter', |s__']
557100	0.0	['k__Bacteria', 'p__Bacteroidetes', 'c__Flavobacteriia', 'o__Flavobacteriales', 'f__Flavobacteriaceae', 'g__Capnocytophaga', |s__']
OTU681	0.0	['Unclassified']
OTU4919	0.0	['Unclassified']
29566	0.0	['k__Bacteria', 'p__Fusobacteria', 'c__Fusobacteriia', 'o__Fusobacteriales', 'f__Leptotrichiaceae', 'g__Sneathia', |s__']
OTU4915	0.0	['Unclassified']
OTU4914	0.0	['Unclassified']
OTU4913	0.0	['Unclassified']
OTU4910	0.0	['Unclassified']
OTU372	0.0	['Unclassified']
849440	0.0	['k__Archaea', 'p__Euryarchaeota', 'c__Methanobacteria', 'o__Methanobacteriales', 'f__Methanobacteriaceae', 'g__Methanobrevibacter', |s__']
567437	0.0	['k__Bacteria', 'p__Tenericutes', 'c__Mollicutes', 'o__RF39', 'f__', 'g__', |s__']
1065974	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Bacilli', 'o__Lactobacillales', 'f__Enterococcaceae', 'g__Vagococcus', |s__']
546557	0.0	['k__Bacteria', 'p__Bacteroidetes', 'c__Bacteroidia', 'o__Bacteroidales', 'f__[Paraprevotellaceae]', 'g__[Prevotella]', |s__']
263518	0.0	['k__Bacteria', 'p__Proteobacteria', 'c__Deltaproteobacteria', 'o__Desulfovibrionales', 'f__Desulfovibrionaceae', 'g__', |s__']
585881	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__Coprococcus', |s__']
OTU2050	0.0	['Unclassified']
OTU1744	0.0	['Unclassified']
OTU1746	0.0	['Unclassified']
OTU1741	0.0	['Unclassified']
OTU1740	0.0	['Unclassified']
351135	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__[Mogibacteriaceae]', 'g__', |s__']
OTU2059	0.0	['Unclassified']
OTU1749	0.0	['Unclassified']
360015	4.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__[Ruminococcus]', |s__gnavus']
OTU1985	0.0	['Unclassified']
533246	0.0	['k__Bacteria', 'p__Proteobacteria', 'c__Gammaproteobacteria', 'o__Pseudomonadales', 'f__Pseudomonadaceae', 'g__', |s__']
OTU1982	0.0	['Unclassified']
OTU1981	0.0	['Unclassified']
4345640	0.0	['k__Bacteria', 'p__Fusobacteria', 'c__Fusobacteriia', 'o__Fusobacteriales', 'f__Leptotrichiaceae', 'g__Leptotrichia', |s__']
359809	0.0	['k__Bacteria', 'p__Proteobacteria', 'c__Betaproteobacteria', 'o__Burkholderiales', 'f__Alcaligenaceae', 'g__Sutterella', |s__']
OTU718	2.0	['Unclassified']
31235	0.0	['k__Bacteria', 'p__Fusobacteria', 'c__Fusobacteriia', 'o__Fusobacteriales', 'f__Leptotrichiaceae', 'g__Leptotrichia', |s__']
OTU3830	0.0	['Unclassified']
OTU3833	0.0	['Unclassified']
OTU3832	0.0	['Unclassified']
OTU3834	0.0	['Unclassified']
OTU3837	0.0	['Unclassified']
2256425	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Christensenellaceae', 'g__', |s__']
188348	50.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__', |s__']
235065	0.0	['k__Bacteria', 'p__Tenericutes', 'c__Mollicutes', 'o__RF39', 'f__', 'g__', |s__']
193219	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__Blautia', |s__']
OTU4075	0.0	['Unclassified']
OTU1406	0.0	['Unclassified']
OTU1407	0.0	['Unclassified']
136025	0.0	['k__Bacteria', 'p__Proteobacteria', 'c__Betaproteobacteria', 'o__Burkholderiales', 'f__Oxalobacteraceae', 'g__Ralstonia', |s__']
272175	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__', |s__']
563798	0.0	['k__Bacteria', 'p__Fusobacteria', 'c__Fusobacteriia', 'o__Fusobacteriales', 'f__Leptotrichiaceae', 'g__Leptotrichia', |s__']
OTU3958	0.0	['Unclassified']
816868	0.0	['k__Bacteria', 'p__Proteobacteria', 'c__Gammaproteobacteria', 'o__Xanthomonadales', 'f__Xanthomonadaceae', 'g__', |s__']
305997	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__Blautia', |s__']
OTU3907	0.0	['Unclassified']
OTU3900	0.0	['Unclassified']
OTU3903	0.0	['Unclassified']
OTU3902	0.0	['Unclassified']
523987	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__', |s__']
OTU3909	1.0	['Unclassified']
352034	0.0	['k__Bacteria', 'p__Bacteroidetes', 'c__Bacteroidia', 'o__Bacteroidales', 'f__Bacteroidaceae', 'g__Bacteroides', |s__']
OTU2181	0.0	['Unclassified']
228061	2.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__', |s__']
359020	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__Anaerostipes', |s__']
3028273	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__', 'g__', |s__']
180179	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__', |s__']
OTU1577	0.0	['Unclassified']
OTU1574	0.0	['Unclassified']
493391	7.0	['k__Bacteria', 'p__Firmicutes', 'c__Erysipelotrichi', 'o__Erysipelotrichales', 'f__Erysipelotrichaceae', 'g__[Eubacterium]', |s__dolichum']
OTU1572	0.0	['Unclassified']
OTU1571	0.0	['Unclassified']
337580	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__', 'g__', |s__']
1008348	0.0	['k__Bacteria', 'p__Bacteroidetes', 'c__Bacteroidia', 'o__Bacteroidales', 'f__[Paraprevotellaceae]', 'g__[Prevotella]', |s__']
121566	0.0	['k__Bacteria', 'p__Tenericutes', 'c__Mollicutes', 'o__Acholeplasmatales', 'f__Acholeplasmataceae', 'g__Acholeplasma', |s__']
OTU2981	0.0	['Unclassified']
4331760	0.0	['k__Bacteria', 'p__Bacteroidetes', 'c__Bacteroidia', 'o__Bacteroidales', 'f__Rikenellaceae', 'g__Alistipes', |s__indistinctus']
368711	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Christensenellaceae', 'g__', |s__']
OTU5022	0.0	['Unclassified']
355440	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__', 'g__', |s__']
354461	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__', |s__']
574655	0.0	['k__Bacteria', 'p__Proteobacteria', 'c__Alphaproteobacteria', 'o__Rhizobiales', 'f__Methylobacteriaceae', 'g__Methylobacterium', |s__']
276052	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__', 'g__', |s__']
OTU5085	0.0	['Unclassified']
273997	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Erysipelotrichi', 'o__Erysipelotrichales', 'f__Erysipelotrichaceae', 'g__Allobaculum', |s__']
979707	0.0	['k__Bacteria', 'p__Bacteroidetes', 'c__Bacteroidia', 'o__Bacteroidales', 'f__Porphyromonadaceae', 'g__Porphyromonas', |s__']
OTU5060	0.0	['Unclassified']
OTU5061	0.0	['Unclassified']
OTU4040	0.0	['Unclassified']
OTU4590	0.0	['Unclassified']
OTU4045	0.0	['Unclassified']
359111	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__[Ruminococcus]', |s__']
OTU4594	0.0	['Unclassified']
641783	2.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__', |s__']
369827	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Ruminococcaceae', 'g__', |s__']
198945	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__', |s__']
369822	1.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__', 'g__', |s__']
188145	1.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__', 'g__', |s__']
515279	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Lachnospiraceae', 'g__', |s__']
OTU4449	0.0	['Unclassified']
830080	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Erysipelotrichi', 'o__Erysipelotrichales', 'f__Erysipelotrichaceae', 'g__', |s__']
OTU2875	0.0	['Unclassified']
1625448	0.0	['k__Bacteria', 'p__Firmicutes', 'c__Clostridia', 'o__Clostridiales', 'f__Clostridiaceae', 'g__', |s__']
OTU2878	1.0	['Unclassified']
