OTU_ID	MSM5LLD8_P	taxonomy
K01365	0.0
K01364	0.0
K01361	4.0
K01360	0.0
K01362	6300.0
K05841	5.0
K05844	18.0
K05845	255.0
K08566	0.0
K08567	155.0
K00508	0.0
K00500	360.0
K00507	532.0
K00504	0.0
K00505	210.0
K12521	0.0
K01101	429.0
K01103	5.0
K12520	0.0
K01104	19728.0
K05592	3101.0
K05593	349.0
K05590	24.0
K05591	383.0
K05596	26.0
K05597	0.0
K05594	16.0
K05595	4201.0
K05599	0.0
K11616	0.0
K11610	0.0
K14540	6337.0
K11611	0.0
K09781	28.0
K12528	0.0
K02456	941.0
K05337	4990.0
K02454	707.0
K02455	336.0
K02100	16.0
K02101	0.0
K02102	57.0
K02451	0.0
K02108	12491.0
K02109	12642.0
K02458	382.0
K05339	19.0
K02193	88.0
K03851	3.0
K03850	0.0
K03852	0.0
K03855	75.0
K03856	10393.0
K13018	0.0
K13019	4.0
K13010	1.0
K13011	0.0
K13012	4614.0
K13013	0.0
K13014	8.0
K13015	4.0
K13016	4.0
K13017	0.0
K05846	1831.0
K05847	2466.0
K13274	0.0
K13275	2.0
K13276	0.0
K13277	0.0
K03275	8.0
K03274	706.0
K03277	0.0
K03276	0.0
K03271	1245.0
K03270	3563.0
K03273	1025.0
K03272	570.0
K03279	0.0
K03278	0.0
K12277	0.0
K12276	0.0
K12270	60.0
K12279	0.0
K12278	0.0
K07225	24.0
K07222	163.0
K07220	1592.0
K03431	10245.0
K06319	0.0
K09909	17.0
K09908	26.0
K12051	0.0
K12050	0.0
K12057	8.0
K12056	6.0
K12054	0.0
K06221	96.0
K09900	9.0
K09903	9028.0
K09902	26.0
K09904	24.0
K09907	24.0
K09906	24.0
K11501	0.0
K00773	8912.0
K00772	384.0
K00777	0.0
K00776	0.0
K07176	0.0
K07177	207.0
K07174	6.0
K07175	2155.0
K07172	158.0
K07173	6223.0
K07170	1829.0
K07171	16382.0
K07178	7.0
K07179	0.0
K00195	0.0
K00194	343.0
K00197	347.0
K00196	6.0
K00191	0.0
K00190	0.0
K00193	0.0
K00192	0.0
K00198	951.0
K10109	985.0
K10108	1410.0
K10107	3.0
K01828	3.0
K01829	0.0
K01826	385.0
K01825	99.0
K01822	77.0
K01823	146.0
K01820	164.0
K01821	829.0
K00999	0.0
K00998	3362.0
K00995	11025.0
K00997	4836.0
K00996	100.0
K00991	5575.0
K00990	752.0
K00992	210.0
K13489	306.0
K13488	306.0
K13483	2.0
K13482	360.0
K13481	360.0
K13480	3.0
K13487	158.0
K13486	306.0
K02624	510.0
K10189	1362.0
K14680	0.0
K14681	0.0
K08359	6.0
K08358	15.0
K08357	15.0
K08356	0.0
K08355	0.0
K08354	6.0
K08353	0.0
K08352	75.0
K08351	16.0
K08350	24.0
K03469	8818.0
K03462	6.0
K03464	358.0
K03465	4025.0
K03466	5419.0
K01648	0.0
K01649	9157.0
K01643	741.0
K01640	493.0
K01641	73.0
K01646	166.0
K01647	10116.0
K01644	1710.0
K02597	1.0
K02596	4.0
K02595	0.0
K02594	23.0
K02593	0.0
K02592	15.0
K02591	35.0
K02590	190.0
K02598	379.0
K02849	254.0
K14061	38.0
K14062	40.0
K14063	16.0
K14064	16.0
K14065	0.0
K14067	0.0
K02841	614.0
K02840	19.0
K02843	762.0
K02844	185.0
K02847	24.0
K02846	16.0
K09758	1497.0
K09759	783.0
K06034	0.0
K06036	1.0
K06037	0.0
K06032	0.0
K06033	0.0
K13498	127.0
K01589	917.0
K01588	9138.0
K03644	2361.0
K03645	24.0
K03646	463.0
K03647	338.0
K03640	762.0
K03641	463.0
K03642	784.0
K03643	458.0
K03648	5592.0
K03649	23.0
K06694	0.0
K12428	2.0
K12429	0.0
K12422	0.0
K12423	0.0
K12420	0.0
K12421	0.0
K12426	0.0
K12427	0.0
K12424	0.0
K12425	0.0
K07349	31.0
K07348	40.0
K07345	514.0
K07344	3.0
K07347	515.0
K07346	219.0
K07341	435.0
K07340	27.0
K07343	1017.0
K07342	6.0
K06968	185.0
K06969	14213.0
K06962	334.0
K06963	0.0
K06960	6610.0
K06961	6.0
K06966	7248.0
K06967	6329.0
K06964	0.0
K06965	6.0
K08995	176.0
K08994	28.0
K08997	17.0
K08996	77.0
K08990	25.0
K08993	234.0
K08992	24.0
K08999	1773.0
K08998	8406.0
K14941	20.0
K08347	16.0
K08348	23.0
K05929	0.0
K05928	162.0
K05927	0.0
K05926	0.0
